category,name,description,price,badge,image,image_alt,image_page
Espresso Drinks,Espresso,"Two shots of our house roast, pulled short and dark.",3.25,,/images/pexels-9050518.webp,A double shot of espresso in a small glass on a scale under the espresso machine,https://www.pexels.com/photo/close-up-of-a-shot-of-espresso-9050518/
Espresso Drinks,Americano,"Espresso topped with hot water for a light, clean body.",3.75,,/images/pexels-4264049.webp,Black coffee pouring into a white ceramic mug,https://www.pexels.com/photo/white-ceramic-mug-with-coffee-4264049/
Espresso Drinks,Cappuccino,"Espresso with steamed milk and a thick cap of foam.",4.50,,/images/pexels-2396220.webp,A cappuccino with a leaf of latte art on a white saucer on a wooden table,https://www.pexels.com/photo/cappuccino-in-white-ceramic-cup-on-white-ceramic-saucer-2396220/
Espresso Drinks,Latte,"Espresso with steamed milk and a thin layer of foam.",4.75,House Favorite,/images/pexels-28647687.webp,A latte with heart latte art seen from above on a slatted wooden table,https://www.pexels.com/photo/latte-art-coffee-on-wooden-table-outdoors-28647687/
Espresso Drinks,Flat White,"Ristretto shots with steamed whole milk, poured thin and velvety.",4.95,,/images/pexels-2318005.webp,A small white cup of flat white with latte art on a worn wooden table,https://www.pexels.com/photo/cup-of-coffee-on-a-wooden-table-2318005/
Espresso Drinks,Vanilla Bean Latte,"Espresso and steamed milk with real vanilla bean paste.",5.25,Popular,/images/pexels-12620633.webp,A latte with a rosetta pattern in a brown-rimmed cup with a spoon on the saucer,https://www.pexels.com/photo/cup-of-latte-art-on-brown-wooden-table-12620633/
Espresso Drinks,Caramel Macchiato,"Steamed milk marked with espresso and finished with caramel drizzle.",5.50,Popular,/images/pexels-214333.webp,A layered caramel macchiato in a glass topped with whipped cream and caramel drizzle,https://www.pexels.com/photo/white-and-brown-caramel-frappe-on-clear-drinking-glass-214333/
Espresso Drinks,Mocha,"Espresso, steamed milk, and dark chocolate, topped with whipped cream.",5.25,,/images/pexels-14761085.webp,A layered mocha in a glass mug topped with whipped cream and chocolate sauce,https://www.pexels.com/photo/photo-of-a-cup-of-coffee-with-whipped-cream-on-the-top-14761085/
Espresso Drinks,Cortado,"Equal parts espresso and warm milk, no foam.",4.25,,/images/pexels-14704662.webp,A cortado with latte art in a green ceramic cup with a biscuit on the saucer,https://www.pexels.com/photo/a-cortado-drink-with-latte-art-on-green-ceramic-cup-14704662/
Cold Drinks,Iced Coffee,"Our house roast, brewed hot and chilled overnight, poured over ice.",3.95,,/images/pexels-17576001.webp,A glass of iced black coffee on a marble table in bright sunlight,https://www.pexels.com/photo/cold-coffee-in-glass-on-table-17576001/
